donor_label	cell_collection_date	virus	inj_type_label	inj_roi_label	inj_target	inj_primary	inj_all	inj_tract	inj_flag	ctx_tract
266796	#N/A	#N/A	Retrograde	ALM : SSs	SSs	SSs	"SSs, SSp, AUDv"	none	OK	no
266797	#N/A	#N/A	Retrograde	ALM : MOs	ALM-c	ALM-c	"MOs, MOp"	none	OK	no
266799	#N/A	#N/A	Retrograde	ALM : ZI	ZI	ZI	"ZI, VAL, VPM, LP"	"MOp, HPF"	OK	yes
266801	#N/A	#N/A	Retrograde	ALM : PF	PF	PF	"PF, MD, LH, LP"	"MOp, HPF"	OK	yes
267086	#N/A	#N/A	Retrograde	ALM : BLA	BLA	BLA	"BLA, CP"	SSp	Inj_Tract	yes
267874	#N/A	#N/A	Retrograde	ALM : SSs	SSs	SSp	"SSp, SSs"	none	OK	no
267875	#N/A	#N/A	Retrograde	ALM : MOs	ALM-c	ALM-c	MOs	none	OK	no
267876	#N/A	#N/A	Retrograde	ALM : SSs	SSs	SSs	SSs	none	OK	no
267877	#N/A	#N/A	Retrograde	ALM : MOs	ALM-c	ALM-c	"MOs, PL"	none	OK	no
267878	#N/A	#N/A	Retrograde	ALM : BLA	BLA	BLA	"BLA, EPd, CP"	SSp	Inj_Tract	yes
269212	#N/A	#N/A	Retrograde	ALM : SCm	SCm	RSP	"RSP, SCs"	RSPd	OK	yes
269214	#N/A	#N/A	Retrograde	ALM : MOs	ALM-c	ALM-c	MOs	none	OK	no
269458	#N/A	#N/A	Retrograde	ALM : PF	PF	MD	"MD, LD, PF, LH, PVT"	"MOp, MOs"	OK	yes
269459	#N/A	#N/A	Retrograde	ALM : SSs	SSs	SSs	"SSs, SSp"	none	OK	no
270079	#N/A	#N/A	Retrograde	ALM : SCm	SCm	RSP	"RSP, SCs, SCm"	RSPd	OK	yes
270080	#N/A	#N/A	Retrograde	ALM : MOp	MOp	MOp	"MOp, MOs, SSp"	none	OK	no
270083	#N/A	#N/A	Retrograde	ALM : PERI	PERI	PERI	"PERI, ECT, Tea, AUDv"	none	OK	no
270881	#N/A	#N/A	Retrograde	ALM : SSs	SSs	SSs	"SSs, SSp"	none	OK	no
271363	#N/A	#N/A	Retrograde	ALM : AId	Aid-c	ORBl-c	"ORBl, Aid"	MOs	OK	yes
271523	#N/A	#N/A	Retrograde	ALM : CP	CP-c	CP-c	"CP, cc"	none	OK	no
